pin,port,pad_type,pe,ps,description
1,PTE16,GPIO,0,0,
2,PTE15,GPIO,0,0,
3,PTD1,GPIO-HD,0,0,
4,PTD0,GPIO-HD,0,0,
5,PTE11,GPIO,0,0,
6,PTE10,GPIO,0,0,
7,PTE13,GPIO,0,0,
8,PTE5,GPIO,0,0,
9,PTE4,GPIO-HD,0,0,
10,PTA25,GPIO,0,0,
11,VDD,SUPPLY,,,Supply Voltage
12,VSS,SUPPLY,,,Supply Ground
13,VDDA,SUPPLY,,,Analogue supply voltage
14,VREFH,SUPPLY,,,ADC Reference Supply high
15,VREFL,SUPPLY,,,ADC Reference Supply low
16,VSS,SUPPLY,,,Supply Ground
17,PTB7,GPIO,0,0,
18,PTB6,GPIO-HD,0,0,
19,PTA26,GPIO,0,0,
20,PTE14,GPIO,0,0,
21,PTE3,GPIO,0,0,
22,PTA27,GPIO,0,0,
23,PTE12,GPIO,0,0,
24,PTA28,GPIO,0,0,
25,PTD17,GPIO,0,0,
26,PTA29,GPIO,0,0,
27,PTA30,GPIO,0,0,
28,PTD16,GPIO-HD,0,0,
29,PTD15,GPIO-HD,0,0,
30,PTE9,GPIO,0,0,
31,VSS,SUPPLY,,,Supply Ground
32,VDD,SUPPLY,,,Supply Voltage
33,PTA31,GPIO,0,0,
34,PTD14,GPIO,0,0,
35,PTD13,GPIO,0,0,
36,PTB18,GPIO,0,0,
37,PTB20,GPIO,0,0,
38,PTB21,GPIO,0,0,
39,PTE8,GPIO,0,0,
40,PTB5,GPIO-HD,0,0,
41,PTB4,GPIO-HD,0,0,
42,PTC3,GPIO-HD,0,0,
43,PTC2,GPIO-FAST,0,0,
44,PTD7,GPIO-FAST,0,0,
45,PTD6,GPIO-HD,0,0,
46,PTD5,GPIO-HD,0,0,
47,PTD12,GPIO-FAST,0,0,
48,PTD11,GPIO-FAST,0,0,
49,PTD10,GPIO-FAST,0,0,
50,VSS,SUPPLY,,,Supply Ground
51,VDD,SUPPLY,,,Supply Voltage
52,PTC1,GPIO-HD,0,0,
53,PTC0,GPIO-HD,0,0,
54,PTD9,GPIO-HD,0,0,
55,PTD8,GPIO-HD,0,0,
56,PTC17,GPIO-HD,0,0,
57,PTC16,GPIO-HD,0,0,
58,PTB22,GPIO,0,0,
59,PTC15,GPIO,0,0,
60,PTB23,GPIO,0,0,
61,PTC14,GPIO,0,0,
62,PTB25,GPIO,0,0,
63,PTB3,GPIO,0,0,
64,PTB27,GPIO,0,0,
65,PTB28,GPIO,0,0,
66,VSS,SUPPLY,,,Supply Ground
67,VDD,SUPPLY,,,Supply Voltage
68,PTB2,GPIO,0,0,
69,PTB29,GPIO,0,0,
70,PTC13,GPIO,0,0,
71,PTC12,GPIO,0,0,
72,PTC19,GPIO,0,0,
73,PTC23,GPIO,0,0,
74,PTC11,GPIO,0,0,
75,PTC10,GPIO,0,0,
76,PTC27,GPIO,0,0,
77,PTB1,GPIO,0,0,
78,PTB0,GPIO,0,0,
79,PTC28,GPIO,0,0,
80,PTC9,GPIO,0,0,
81,PTC8,GPIO,0,0,
82,PTC29,GPIO,0,0,
83,PTA7,GPIO,0,0,
84,PTC30,GPIO,0,0,
85,PTA6,GPIO,0,0,
86,PTC31,GPIO,0,0,
87,PTE7,GPIO,0,0,
88,PTD18,GPIO,0,0,
89,PTD19,GPIO,0,0,
90,VSS,SUPPLY,,,Supply Ground
91,VDD,SUPPLY,,,Supply Voltage
92,PTA17,GPIO,0,0,
93,PTB17,GPIO,0,0,
94,PTB16,GPIO,0,0,
95,PTB15,GPIO,0,0,
96,PTB14,GPIO,0,0,
97,PTB13,GPIO,0,0,
98,PTB12,GPIO,0,0,
99,PTD22,GPIO,0,0,
100,PTD4,GPIO,0,0,
101,PTD3,GPIO,0,0,
102,PTD2,GPIO,0,0,
103,PTD23,GPIO,0,0,
104,PTA3,GPIO,0,0,
105,PTA2,GPIO,0,0,
106,PTD24,GPIO,0,0,
107,PTB11,GPIO,0,0,
108,PTB10,GPIO,0,0,
109,PTB9,GPIO-HD,0,0,
110,PTD27,GPIO,0,0,
111,PTB8,GPIO-HD,0,0,
112,PTD28,GPIO,0,0,
113,PTA1,GPIO,0,0,
114,PTD29,GPIO,0,0,
115,PTA0,GPIO,0,0,
116,PTD30,GPIO,0,0,
117,PTC7,GPIO,0,0,
118,PTC6,GPIO,0,0,
119,PTA16,GPIO,0,0,
120,PTA15,GPIO,0,0,
121,PTE6,GPIO,0,0,
122,PTE2,GPIO-HD,0,0,
123,VSS,SUPPLY,,,Supply Ground
124,VDD,SUPPLY,,,Supply Voltage
125,PTE19,GPIO,0,0,
126,PTE20,GPIO,0,0,
127,PTA14,GPIO-HD,0,0,
128,PTE21,GPIO,0,0,
129,PTE22,GPIO,0,0,
130,PTA13,GPIO-HD,0,0,
131,PTE23,GPIO,0,0,
132,PTE24,GPIO,0,0,
133,PTE25,GPIO,0,0,
134,PTA12,GPIO-HD,0,0,
135,PTA11,GPIO-HD,0,0,
136,PTA10,GPIO-HD,0,0,
137,PTE1,GPIO-HD,0,0,
138,PTE0,GPIO-HD,0,0,
139,PTC5,GPIO,1,1,
140,PTC4,GPIO,1,0,
141,PTA5,GPIO,1,1,
142,PTA4,GPIO,1,1,
143,PTA9,GPIO,0,0,
144,PTA8,GPIO,0,0,
